source_ip,destination_ip,source_port,destination_port,protocol,packet_count,byte_count,duration,packets_per_second,bytes_per_second,average_packet_size,unique_destination_ips,unique_destination_ports,tcp_syn_count,tcp_rst_count
49.44.131.195,10.21.149.251,,,OTHER,102,120973,0.7901692390441895,129.08627033289986,153097.58216648916,1186.0098039215686,1,0,0,0
10.21.149.251,20.184.175.16,59145.0,443.0,TCP,4,2069,0.27993202209472656,14.289183388410043,7391.080107655095,517.25,1,1,1,0
10.21.149.251,104.18.32.47,52988.0,443.0,TCP,9,7883,0.32715272903442383,27.51008688377164,24095.779433863536,875.8888888888889,1,1,0,0
10.21.149.251,20.184.175.16,54277.0,443.0,TCP,4,2069,0.2628822326660156,15.215938937500907,7870.444415422344,517.25,1,1,1,0
104.18.32.47,10.21.149.251,443.0,52988.0,TCP,11,1171,0.24431681632995605,45.023507449213895,4792.957020275407,106.45454545454545,1,1,0,0
20.184.175.16,10.21.149.251,443.0,59145.0,TCP,1,66,0.001,1000.0,66000.0,66.0,1,1,1,0
172.64.148.235,10.21.149.251,443.0,61321.0,TCP,2,132,0.06666064262390137,30.002711064217888,1980.1789302383804,66.0,1,1,0,0
10.21.149.251,172.64.148.235,61321.0,443.0,TCP,1,82,0.001,1000.0,82000.0,82.0,1,1,0,0
20.184.175.16,10.21.149.251,443.0,54277.0,TCP,1,66,0.001,1000.0,66000.0,66.0,1,1,1,0
20.184.175.16,10.21.149.251,443.0,54277.0,TCP,10,9700,0.32788896560668945,30.498129089208923,29583.185216532656,970.0,1,1,0,0
142.251.153.4,10.21.149.251,443.0,64749.0,TCP,285,213381,4.940586805343628,57.685455438562556,43189.40409451199,748.7052631578947,1,1,0,0
10.21.149.251,20.184.175.16,54277.0,443.0,TCP,3,236,0.32349276542663574,9.273777718161563,729.5371804953763,78.66666666666667,1,1,0,0
10.21.149.251,142.251.153.4,64749.0,443.0,TCP,151,125612,4.91399884223938,30.728537968313223,25562.073584607686,831.8675496688742,1,1,0,0
20.184.175.16,10.21.149.251,443.0,55207.0,TCP,28,2481,1.8464505672454834,15.164229412201443,1343.659041845421,88.60714285714286,1,1,0,0
20.184.175.16,10.21.149.251,443.0,59145.0,TCP,6,906,0.30303478240966797,19.799707321678653,2989.755805573476,151.0,1,1,0,0
10.21.149.251,10.21.149.160,51129.0,53.0,UDP,1,71,0.001,1000.0,71000.0,71.0,1,1,0,0
10.21.149.251,10.21.149.160,53731.0,53.0,UDP,1,71,0.001,1000.0,71000.0,71.0,1,1,0,0
10.21.149.251,20.184.175.16,59145.0,443.0,TCP,3,193,0.3253483772277832,9.220885088047135,593.210273997699,64.33333333333333,1,1,0,0
10.21.149.251,20.184.175.16,55207.0,443.0,TCP,55,68858,1.8757305145263672,29.321909290305392,36709.96418021543,1251.9636363636364,1,1,0,0
10.21.149.160,10.21.149.251,53.0,51129.0,UDP,1,128,0.001,1000.0,128000.0,128.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,53731.0,UDP,1,263,0.001,1000.0,263000.0,263.0,1,1,0,0
10.21.149.251,142.251.10.119,52684.0,443.0,TCP,50,6823,2.7766129970550537,18.007550945353664,2457.310402002961,136.46,1,1,1,0
10.21.149.251,10.21.149.160,60335.0,53.0,UDP,1,77,0.001,1000.0,77000.0,77.0,1,1,0,0
10.21.149.251,10.21.149.160,52648.0,53.0,UDP,1,77,0.001,1000.0,77000.0,77.0,1,1,0,0
142.251.10.119,10.21.149.251,443.0,52684.0,TCP,119,144582,2.6710009574890137,44.552586050688255,54130.26887714797,1214.9747899159663,1,1,1,0
10.21.149.160,10.21.149.251,53.0,60335.0,UDP,1,102,0.001,1000.0,102000.0,102.0,1,1,0,0
10.21.149.160,10.21.149.251,53.0,52648.0,UDP,1,93,0.001,1000.0,93000.0,93.0,1,1,0,0
10.21.149.251,142.251.223.227,54653.0,443.0,UDP,11,7013,0.6923997402191162,15.886776613346143,10128.542217217864,637.5454545454545,1,1,0,0
142.251.223.227,10.21.149.251,443.0,54653.0,UDP,8,6378,0.5685451030731201,14.07100326211257,11218.107350719245,797.25,1,1,0,0
142.251.223.227,10.21.149.251,,,OTHER,5,5294,0.47306203842163086,10.569438242566399,11190.921211229303,1058.8,1,0,0,0
10.21.149.251,224.0.0.251,5353.0,5353.0,UDP,1,82,0.001,1000.0,82000.0,82.0,1,1,0,0
10.21.149.251,172.64.155.209,52165.0,443.0,TCP,1,55,0.001,1000.0,55000.0,55.0,1,1,0,0
172.64.155.209,10.21.149.251,443.0,52165.0,TCP,1,66,0.001,1000.0,66000.0,66.0,1,1,0,0
10.21.149.160,224.0.0.22,,,OTHER,2,108,0.5414860248565674,3.6935394602838993,199.45113085533058,54.0,1,0,0,0
